station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
06C,2021-01-01 19:35,-88.1012,41.9893,243.48,32.90,32.00,96.44,0.00,0.00,0.03,29.83,null,1.50,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020135Z AUTO 00000KT 1 1/2SM OVC004 01/00 A2983 RMK AO2 P0003 T00050000
06C,2021-01-01 19:55,-88.1012,41.9893,243.48,32.50,32.00,98.01,10.00,6.00,0.04,29.83,null,0.75,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,26.13,K06C 020155Z AUTO 01006KT 3/4SM OVC004 00/00 A2983 RMK AO2 P0004 T00030000
06C,2021-01-01 20:15,-88.1012,41.9893,243.48,32.40,32.00,98.40,360.00,7.00,0.02,29.83,null,0.75,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,25.27,K06C 020215Z AUTO 36007KT 3/4SM OVC004 00/00 A2983 RMK AO2 P0002 T00020000
06C,2021-01-01 20:35,-88.1012,41.9893,243.48,32.40,32.00,98.40,350.00,4.00,0.05,29.84,null,0.50,8.00,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,27.89,K06C 020235Z AUTO 35004G08KT 1/2SM OVC004 00/00 A2984 RMK AO2 P0005 T00020000
06C,2021-01-01 20:55,-88.1012,41.9893,243.48,32.20,31.80,98.40,0.00,0.00,0.06,29.85,null,1.25,null,OVC,null,null,null,400.00,null,null,null,null,null,null,null,null,null,null,null,K06C 020255Z AUTO 00000KT 1 1/4SM OVC004 00/00 A2985 RMK AO2 P0006 60016 T00011001
06C,2021-01-01 21:15,-88.1012,41.9893,243.48,32.20,31.80,98.40,350.00,4.00,0.00,29.86,null,1.50,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,27.65,K06C 020315Z AUTO 35004KT 1 1/2SM OVC006 00/00 A2986 RMK AO2 T00011001
06C,2021-01-01 21:35,-88.1012,41.9893,243.48,32.20,31.60,97.61,350.00,6.00,0.01,29.86,null,2.50,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,25.77,K06C 020335Z AUTO 35006KT 2 1/2SM OVC006 00/00 A2986 RMK AO2 P0001 T00011002
06C,2021-01-01 21:55,-88.1012,41.9893,243.48,32.00,31.50,98.00,350.00,7.00,0.01,29.86,null,3.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,24.78,K06C 020355Z AUTO 35007KT 3SM OVC006 00/00 A2986 RMK AO2 P0001 T00001003
06C,2021-01-01 22:15,-88.1012,41.9893,243.48,32.00,31.10,96.43,360.00,7.00,0.00,29.86,null,7.00,null,OVC,null,null,null,600.00,null,null,null,null,null,null,null,null,null,null,24.78,K06C 020415Z AUTO 36007KT 7SM OVC006 00/00 A2986 RMK AO2 T00001005
06C,2021-01-01 22:35,-88.1012,41.9893,243.48,31.80,30.60,95.26,360.00,7.00,0.00,29.86,null,10.00,null,OVC,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,24.54,K06C 020435Z AUTO 36007KT 10SM OVC008 00/M01 A2986 RMK AO2 T10011008
